prefix,reference,wikipedia,wikidata,document-url
battlefield,1000000,Battle_of_Adwalton_Moor,Q2475657,https://historicengland.org.uk/content/docs/listing/battlefields/adwalton-moor/
battlefield,1000001,Battle_of_Barnet,Q1428169,https://historicengland.org.uk/content/docs/listing/battlefields/barnet/
battlefield,1000002,Battle_of_Blore_Heath,Q581401,https://historicengland.org.uk/content/docs/listing/battlefields/blore-heath/
battlefield,1000003,Battle_of_Boroughbridge,Q2657536,https://historicengland.org.uk/content/docs/listing/battlefields/boroughbridge/
battlefield,1000004,Battle_of_Bosworth_Field,Q222013,https://historicengland.org.uk/content/docs/listing/battlefields/bosworth/
battlefield,1000005,Battle_of_Braddock_Down,Q4870542,https://historicengland.org.uk/content/docs/listing/battlefields/braddock/
battlefield,1000006,Battle_of_Chalgrove_Field,Q3636383,https://historicengland.org.uk/content/docs/listing/battlefields/chalgrove/
battlefield,1000007,Battle_of_Cheriton,Q2236857,https://historicengland.org.uk/content/docs/listing/battlefields/cheriton/
battlefield,1000008,Battle_of_Cropredy_Bridge,Q2237461,https://historicengland.org.uk/content/docs/listing/battlefields/cropredy-bridge/
battlefield,1000009,Battle_of_Edgehill,Q1478525,https://historicengland.org.uk/content/docs/listing/battlefields/edgehill/
battlefield,1000010,Battle_of_Evesham,Q1339928,https://historicengland.org.uk/content/docs/listing/battlefields/evesham/
battlefield,1000011,Battle_of_Flodden,Q1300742,https://historicengland.org.uk/content/docs/listing/battlefields/flodden/
battlefield,1000012,Battle_of_Halidon_Hill,Q1887057,https://historicengland.org.uk/content/docs/listing/battlefields/halidon-hill/
battlefield,1000013,Battle_of_Hastings,Q83224,https://historicengland.org.uk/content/docs/listing/battlefields/hastings/
battlefield,1000014,Battle_of_Homildon_Hill,Q598069,https://historicengland.org.uk/content/docs/listing/battlefields/homildon-hill/
battlefield,1000015,Battle_of_Hopton_Heath,Q1164151,https://historicengland.org.uk/content/docs/listing/battlefields/hopton-heath/
battlefield,1000016,Battle_of_Langport,Q689433,https://historicengland.org.uk/content/docs/listing/battlefields/langport/
battlefield,1000017,Battle_of_Lansdowne,Q1406921,https://historicengland.org.uk/content/docs/listing/battlefields/lansdown/
battlefield,1000018,Battle_of_Lewes,Q2164009,https://historicengland.org.uk/content/docs/listing/battlefields/lewes/
battlefield,1000019,Battle_of_Maldon,Q1442050,https://historicengland.org.uk/content/docs/listing/battlefields/maldon/
battlefield,1000020,Battle_of_Marston_Moor,Q326417,https://historicengland.org.uk/content/docs/listing/battlefields/marston-moor/
battlefield,1000021,Battle_of_Myton,Q4871832,https://historicengland.org.uk/content/docs/listing/battlefields/myton/
battlefield,1000022,Battle_of_Nantwich,Q4871863,https://historicengland.org.uk/content/docs/listing/battlefields/nantwich/
battlefield,1000023,Battle_of_Naseby,Q949724,https://historicengland.org.uk/content/docs/listing/battlefields/naseby/
battlefield,1000024,Battle_of_Neville%27s_Cross,Q2204399,https://historicengland.org.uk/content/docs/listing/battlefields/nevilles-cross/
battlefield,1000025,Battle_of_Newburn,Q976820,https://historicengland.org.uk/content/docs/listing/battlefields/newburn-ford/
battlefield,1000026,First_Battle_of_Newbury,Q2058454,https://historicengland.org.uk/content/docs/listing/battlefields/newbury/
battlefield,1000027,Battle_of_the_Standard,Q1852373,https://historicengland.org.uk/content/docs/listing/battlefields/northallerton/
battlefield,1000028,Battle_of_Northampton_(1460),Q916295,https://historicengland.org.uk/content/docs/listing/battlefields/northampton/
battlefield,1000029,Battle_of_Otterburn,Q1648673,https://historicengland.org.uk/content/docs/listing/battlefields/otterburn/
battlefield,1000030,Battle_of_Roundway_Down,Q1406897,https://historicengland.org.uk/content/docs/listing/battlefields/roundway-down/
battlefield,1000031,Battle_of_Rowton_Heath,Q4872207,https://historicengland.org.uk/content/docs/listing/battlefields/rowton-heath/
battlefield,1000032,Battle_of_Sedgemoor,Q2557155,https://historicengland.org.uk/content/docs/listing/battlefields/sedgemoor/
battlefield,1000033,Battle_of_Shrewsbury,Q166961,https://historicengland.org.uk/content/docs/listing/battlefields/shrewsbury/
battlefield,1000034,Battle_of_Solway_Moss,Q2890025,https://historicengland.org.uk/content/docs/listing/battlefields/solway-moss/
battlefield,1000035,Battle_of_Stamford_Bridge,Q203225,https://historicengland.org.uk/content/docs/listing/battlefields/stamford-bridge/
battlefield,1000036,Battle_of_Stoke_Field,Q1495481,https://historicengland.org.uk/content/docs/listing/battlefields/stoke-field/
battlefield,1000037,Battle_of_Stow-on-the-Wold,Q4872448,
battlefield,1000038,Battle_of_Stratton,Q630992,https://historicengland.org.uk/content/docs/listing/battlefields/stratton/
battlefield,1000039,Battle_of_Tewkesbury,Q1337059,https://historicengland.org.uk/content/docs/listing/battlefields/tewkesbury/
battlefield,1000040,Battle_of_Towton,Q634629,https://historicengland.org.uk/content/docs/listing/battlefields/towton/
battlefield,1000041,Battle_of_Winceby,Q742260,https://historicengland.org.uk/content/docs/listing/battlefields/winceby/
battlefield,1000042,Battle_of_Worcester,Q1116626,https://historicengland.org.uk/content/docs/listing/battlefields/worcester/
battlefield,1412878,,,
battlefield,1413619,Battle_of_Lostwithiel,Q4871603,
battlefield,1413762,Battle_of_Lostwithiel,Q4871603,
battlefield,1413782,Battle_of_Edgcote,Q1849818,
